params,sse,elapsed_time_s
"[0.02894347526660237, 0.24459188736922638, 0.012366268999001786, 0.4596224060641467, 0.1966257619184827, 0.006272782814665002, 0.0020611780508405083, 0.008263448229366917, 0.0013708107855422017, 0.004614980132441369, 0.001022959956825916, 522894.19151317765, 5.6993421854831635e-06, 211132.177127425, 15945.415368871738, 630311.1799268365, 3.203606355308134e-07, 7.190263862234597e-07, 4.200383364071085, 0.003972368993238979, 295205.7409098139]",9348900825058700.00000000,0.56623363
"[0.02894348526660237, 0.24459188736922638, 0.012366268999001786, 0.4596224060641467, 0.1966257619184827, 0.006272782814665002, 0.0020611780508405083, 0.008263448229366917, 0.0013708107855422017, 0.004614980132441369, 0.001022959956825916, 522894.19151317765, 5.6993421854831635e-06, 211132.177127425, 15945.415368871738, 630311.1799268365, 3.203606355308134e-07, 7.190263862234597e-07, 4.200383364071085, 0.003972368993238979, 295205.7409098139]",9348900538274480.00000000,0.63294983
"[0.02894347526660237, 0.24459189736922637, 0.012366268999001786, 0.4596224060641467, 0.1966257619184827, 0.006272782814665002, 0.0020611780508405083, 0.008263448229366917, 0.0013708107855422017, 0.004614980132441369, 0.001022959956825916, 522894.19151317765, 5.6993421854831635e-06, 211132.177127425, 15945.415368871738, 630311.1799268365, 3.203606355308134e-07, 7.190263862234597e-07, 4.200383364071085, 0.003972368993238979, 295205.7409098139]",9348900293402924.00000000,0.70174193
"[0.02894347526660237, 0.24459188736922638, 0.012366278999001785, 0.4596224060641467, 0.1966257619184827, 0.006272782814665002, 0.0020611780508405083, 0.008263448229366917, 0.0013708107855422017, 0.004614980132441369, 0.001022959956825916, 522894.19151317765, 5.6993421854831635e-06, 211132.177127425, 15945.415368871738, 630311.1799268365, 3.203606355308134e-07, 7.190263862234597e-07, 4.200383364071085, 0.003972368993238979, 295205.7409098139]",9348891295281678.00000000,0.77321506
"[0.02894347526660237, 0.24459188736922638, 0.012366268999001786, 0.4596224160641467, 0.1966257619184827, 0.006272782814665002, 0.0020611780508405083, 0.008263448229366917, 0.0013708107855422017, 0.004614980132441369, 0.001022959956825916, 522894.19151317765, 5.6993421854831635e-06, 211132.177127425, 15945.415368871738, 630311.1799268365, 3.203606355308134e-07, 7.190263862234597e-07, 4.200383364071085, 0.003972368993238979, 295205.7409098139]",9348901232019774.00000000,0.84288168
"[0.02894347526660237, 0.24459188736922638, 0.012366268999001786, 0.4596224060641467, 0.19662577191848268, 0.006272782814665002, 0.0020611780508405083, 0.008263448229366917, 0.0013708107855422017, 0.004614980132441369, 0.001022959956825916, 522894.19151317765, 5.6993421854831635e-06, 211132.177127425, 15945.415368871738, 630311.1799268365, 3.203606355308134e-07, 7.190263862234597e-07, 4.200383364071085, 0.003972368993238979, 295205.7409098139]",9348901776270626.00000000,0.91198206
"[0.02894347526660237, 0.24459188736922638, 0.012366268999001786, 0.4596224060641467, 0.1966257619184827, 0.006272792814665002, 0.0020611780508405083, 0.008263448229366917, 0.0013708107855422017, 0.004614980132441369, 0.001022959956825916, 522894.19151317765, 5.6993421854831635e-06, 211132.177127425, 15945.415368871738, 630311.1799268365, 3.203606355308134e-07, 7.190263862234597e-07, 4.200383364071085, 0.003972368993238979, 295205.7409098139]",9348892285190044.00000000,0.97960925
"[0.02894347526660237, 0.24459188736922638, 0.012366268999001786, 0.4596224060641467, 0.1966257619184827, 0.006272782814665002, 0.0020611880508405083, 0.008263448229366917, 0.0013708107855422017, 0.004614980132441369, 0.001022959956825916, 522894.19151317765, 5.6993421854831635e-06, 211132.177127425, 15945.415368871738, 630311.1799268365, 3.203606355308134e-07, 7.190263862234597e-07, 4.200383364071085, 0.003972368993238979, 295205.7409098139]",9348920405622604.00000000,1.04724479
"[0.02894347526660237, 0.24459188736922638, 0.012366268999001786, 0.4596224060641467, 0.1966257619184827, 0.006272782814665002, 0.0020611780508405083, 0.008263458229366917, 0.0013708107855422017, 0.004614980132441369, 0.001022959956825916, 522894.19151317765, 5.6993421854831635e-06, 211132.177127425, 15945.415368871738, 630311.1799268365, 3.203606355308134e-07, 7.190263862234597e-07, 4.200383364071085, 0.003972368993238979, 295205.7409098139]",9348907008036458.00000000,1.11479807
"[0.02894347526660237, 0.24459188736922638, 0.012366268999001786, 0.4596224060641467, 0.1966257619184827, 0.006272782814665002, 0.0020611780508405083, 0.008263448229366917, 0.0013708207855422016, 0.004614980132441369, 0.001022959956825916, 522894.19151317765, 5.6993421854831635e-06, 211132.177127425, 15945.415368871738, 630311.1799268365, 3.203606355308134e-07, 7.190263862234597e-07, 4.200383364071085, 0.003972368993238979, 295205.7409098139]",9348924379930434.00000000,1.18241978
