params,sse,elapsed_time_s
"[0.06549509697652584, 0.30852571653060795, 0.01997033481379632, 0.10947674658319595, 0.07932353872240079, 0.00041187768137088094, 0.00010253469904399277, 0.00033837279966810114, 0.009521769929199213, 0.0036668942589575307, 0.007028327177465481, 999329.8920014775, 9.999742363044486e-06, 211572.0899679328, 125289.94388063665, 241108.00978907797, 9.607714373777543e-06, 1.101406469446932e-06, 3.447997655040882, 0.006445452797767917, 760473.4185510421]",101412446087.43754578,0.52336073
"[0.07063154909189802, 0.4918416625151023, 0.262082325211545, 0.19759691220648223, 0.08317335269839289, 0.0012451414076553855, 0.0021140857418860876, 0.0003325313841872202, 0.005738452937747198, 0.005412629427484809, 0.009862189413241365, 775809.6663981578, 9.158281666259785e-06, 155931.92383746413, 32825.71704025986, 282753.7380022319, 9.001866788485884e-06, 6.821423578719134e-06, 4.762064555628092, 0.0013437151939448874, 716932.2770939472]",492899157559.32019043,0.59170032
"[0.005485451424934786, 0.4293986309907383, 0.13615462674190332, 0.0007761710417664607, 0.4608766965344385, 0.000746113831831041, 0.0005927114091819581, 0.0023457425290909256, 0.008008993326357369, 0.004083287875132422, 0.003086101433430764, 817344.6935790494, 5.091337086291417e-06, 166028.39021201432, 22450.090608922394, 176083.7804671215, 8.554034394425394e-06, 1.1040796196734016e-06, 4.305857947188738, 0.00021784153897102626, 554017.194032801]",1745548229.09513664,0.65848279
"[0.030265580613854624, 0.4229067060233441, 0.47192609023221654, 0.03163621399071985, 0.07970045806799309, 0.0007231480199276344, 0.007805109297670521, 0.0002461544055227421, 0.009931836129470597, 0.005600817100517577, 0.002454237026060018, 912049.5392468804, 9.975827107943713e-06, 118562.51816843204, 16809.27595033721, 254981.30600132246, 8.518219548572011e-06, 1.8833377702292643e-06, 3.237526264824923, 0.002751638413060138, 770767.5365048167]",524574120.42222750,0.72650290
"[0.09244978239572693, 0.49968234491110075, 0.28239720789517603, 0.05308465562073564, 0.31265579822653145, 0.00028575148459147816, 0.002577199047333312, 0.0008528719297145879, 0.009970143621664896, 0.005813882313040299, 0.005627541262455447, 836427.2196523141, 9.388387135534625e-06, 170955.94348008445, 6932.9880543373765, 291915.4415330183, 8.157213309137501e-06, 3.5984393436631906e-06, 4.373533841808963, 0.0028154270006337146, 656563.0322128916]",486278448299.22241211,0.79381514
"[0.047718738491830795, 0.4919709648386958, 0.3743714308396272, 0.20157968612991176, 0.19377979804674358, 0.0027741719794326905, 0.004229003781028223, 0.0015290636668538198, 0.009948022900872888, 0.007968434571823408, 0.003547314344367318, 977761.6962515042, 9.00624831379779e-06, 35051.85209156893, 57266.950243036496, 191555.54286510858, 9.891015164716082e-06, 6.319933618245039e-07, 4.964899980552427, 0.002126267216094749, 736399.4122398914]",273914175005924.37500000,0.85610366
"[0.023346654208080523, 0.3434415908965125, 0.15212252686466154, 0.44975005802129736, 0.12867780118038588, 0.0001001327586953817, 0.00043320317591548433, 0.003591598034405928, 0.009112300188039327, 0.0059207540849341, 0.008657212628751833, 987119.7781146646, 9.011178224590824e-06, 152081.94930651138, 109608.97025333197, 182952.78473316762, 8.876377064494555e-06, 3.5184079496888305e-06, 1.7856280019996138, 0.003441272318634116, 684664.6860067404]",115141600.00622901,0.92197847
"[0.08580098869928464, 0.2250604407804577, 0.30593588337014604, 0.1016899353232011, 0.2943762769201279, 0.00011133920923579343, 0.0011940238583198217, 0.0029195909947994985, 0.00983637480902107, 0.008246321827475615, 0.007576622095371303, 891258.2210816186, 9.991739778714212e-06, 207915.21922355125, 32385.122059228022, 257562.11279777324, 5.586079493861364e-06, 5.322334252959439e-06, 3.2628555522617084, 0.0010591247831017903, 632207.4279318841]",3127897532.04884386,0.99284911
"[0.24969177908561274, 0.15747527454023066, 0.03029424064349783, 0.05097123975102161, 0.47720269488739053, 0.005451209986369524, 0.00044026853788155224, 0.00025679692760195624, 0.00881498294516827, 0.003667878687821115, 0.003667528592258599, 956929.5118415686, 8.982157686720904e-06, 161490.49900389957, 39704.04950894578, 236562.3364072754, 7.688458348559056e-06, 1.6247981177427009e-06, 3.3708628277216484, 0.004600477792543638, 641378.6203021461]",1415805730400.11962891,1.06410527
"[0.22132575915063696, 0.2816949702607008, 0.3537604994559588, 0.08998258262468689, 0.2139821184916909, 0.0003445927662262223, 0.00397746949348028, 0.000709332034788081, 0.008364167217298797, 0.007865171561582973, 0.002709881362446558, 864325.1931501093, 8.990040867666991e-06, 115007.85351834566, 32450.697351353287, 171582.653852702, 8.707767684865907e-06, 5.803506104234289e-06, 4.960342058195995, 0.00792638783133905, 751516.6412033354]",36537928583117.28125000,1.13665867
