params,sse,elapsed_time_s
"[0.022477146040326815, 0.3962629358654661, 0.08619177980537189, 0.4254335795205309, 0.24385409408993586, 0.008654395920196985, 0.003178538850166802, 0.0016246101430928243, 0.005787460925690732, 0.0005264325658116746, 0.001787937581471257, 661818.5090596712, 4.2481521260343095e-06, 246773.46547799392, 172978.77336890702, 66654.87299550377, 8.55150299758709e-06, 2.551653691671065e-06, 4.372918727594799, 0.0010253653144820245, 773908.17776884]",1654035550980529.00000000,0.52316928
"[0.053202025949092846, 0.01684808807098037, 0.11691666057619665, 0.4561584595433197, 0.27457897400769804, 0.006079273309647237, 0.006263691222189894, 0.002199488453237078, 0.00887261260104083, 0.007851308276592884, 0.008173089120381371, 216282.292284552, 9.87337299337503e-06, 801137.2487028763, 669689.0014540572, 563365.1010806542, 4.189808578397002e-06, 8.17836590757486e-06, 4.156143609434366, 0.008350240131556186, 328371.9609937221]",480234183803787.62500000,0.58121228
"[0.05913536955967774, 0.02278143127814164, 0.08768484684571154, 0.4620918031539046, 0.28051231761828294, 0.006547445544108003, 0.006731862315043062, 0.007732832333804401, 0.0031059602586086866, 0.008319476732119172, 0.00375643218493584, 934054.8845527321, 9.163620237165913e-06, 519009.84097105265, 587906.5113874003, 281237.6933488399, 3.478827241713032e-06, 7.472338441664204e-06, 4.248411789536476, 0.002583585151797163, 77148.85038222373]",5288325273721677.00000000,0.65167379
"[0.4519873422924311, 0.415633404010895, 0.016201976919534844, 0.15069941039945373, 0.4686199248638321, 0.007964588450290461, 0.004104642390313311, 9.04395732516577e-05, 0.006713567494454546, 0.0056922642579700184, 0.006064039424383097, 679256.7445698678, 5.070854993480023e-06, 264211.7009881921, 132763.453739373, 598441.3236216083, 8.684660206014002e-06, 2.6844461156667112e-06, 0.6084289252758026, 0.006191192387643023, 791346.4132790379]",15005245.67207895,0.72527599
"[0.2861826672130504, 0.2498287363820949, 0.18612873473329405, 0.3206261611835466, 0.302815253930656, 0.009591345532294519, 0.0011999549186309892, 0.0054357569669343155, 0.0038088800227722244, 0.0027875693357071, 0.008990798942431743, 272379.9329966232, 1.9352762024865677e-06, 857234.8894149512, 725786.6421661302, 191564.5120483637, 5.548807791994624e-06, 2.0190531153804043e-06, 3.98862424492836, 0.007817950888034112, 384469.60170578957]",512023927993.63641357,0.78397155
"[0.038421097838872376, 0.00206716700791687, 0.10213572975396479, 0.2850556911793346, 0.055053684556477966, 0.007320863311135974, 0.003460926120126452, 0.005474187206175448, 0.0062473100338493555, 0.005225999346784229, 0.0008703306261818505, 942525.8104261458, 4.823180956205237e-06, 527480.7668444663, 396032.5195956528, 459261.04455536604, 9.456888033500393e-06, 3.451720072379788e-06, 0.8293626755475998, 0.0055474761174561646, 652166.1342127919]",2812758383.42024231,0.84935880
"[0.12762574081453343, 0.3387829319312706, 0.43885150492186686, 0.07384893835703876, 0.3917694529722914, 0.0013141163205745508, 0.0037430423480829572, 0.007189967633603791, 0.006351967452224193, 0.0053306567651590685, 0.0032135674847352303, 722453.6257193959, 8.77222104736206e-06, 307408.5821377202, 175960.3348889011, 641638.2047711364, 1.292466880109313e-06, 6.388035256346435e-06, 1.9895784533582628, 0.009440720279330283, 698165.434917435]",87468997.46290845,0.91137624
"[0.23715353606408995, 0.20079959778255385, 0.47451803875981213, 0.10951546521006467, 0.25378612278169554, 0.00013077908186569465, 0.006120706350311819, 0.008006635293459316, 0.00877975954441681, 0.007758456307932283, 0.004030235144590754, 11687.49038592726, 6.218023276228196e-06, 937408.7726543844, 805960.5254055709, 271738.3952878043, 9.831554865736253e-06, 7.519260354335464e-06, 1.8542449846863747, 0.008257384437605287, 464643.48494523764]",13108380.41184693,0.97940111
"[0.34166412420330017, 0.30531019337234466, 0.07952863986549352, 0.40488200203430874, 0.35829671092090576, 0.004797315708924682, 0.000887254683305174, 0.0030731809375741715, 0.006190343394251916, 0.002524996606637388, 0.007240832577266631, 113209.99789652228, 1.4090385823160102e-06, 39031.28016497195, 907483.0329161584, 222426.0346543491, 5.030020752420991e-06, 2.720340767374604e-06, 4.361755579710007, 0.0030239321868909892, 415331.12431177497]",267196882445723.81250000,1.05073404
"[0.1242788166830121, 0.17704486124754226, 0.3616433174440442, 0.06724264175553718, 0.1409114034006177, 0.00465795603316741, 0.0007478833660157197, 0.00843190910249878, 0.00930503117502165, 0.002385633205589818, 0.0039574118586572, 45893.41061310377, 8.509480064646988e-06, 971614.6928815609, 840166.4456327474, 231408.4094130844, 2.133011654155044e-06, 9.805881088511735e-06, 3.2744721611961722, 0.008782656068210127, 424313.4990705177]",54248160.30149036,1.10906291
