params,sse,elapsed_time_s
"[0.025759434752666024, 0.04789591887369227, 0.12549366268999, 0.2948012240606415, 0.09237125761918483, 0.0054087278281466505, 0.009029611780508404, 0.006201634482293669, 0.005656708107855423, 0.0029171498013244135, 0.006825729599568259, 495278.94191513176, 4.062893421854832e-06, 902120.3217712742, 620196.4541536887, 816321.1117992683, 4.127036063553082e-07, 4.312790263862235e-06, 0.8970038336407109, 0.00350472368993239, 742977.0574090981]",16577863.62773966,0.57586455
"[0.21557069562274978, 0.47170004120225606, 0.024808688201518794, 0.10290815134406704, 0.2028293689293892, 0.008267477607254473, 0.0033711003536751848, 0.007975181228717687, 0.008591846656468956, 0.008859313386781068, 8.57034930654797e-05, 550653.8685728133, 3.24855662151536e-06, 167404.9339304744, 840718.1828216146, 625120.2388791599, 1.6407874935931408e-06, 4.857543712843507e-06, 4.72023589881101, 0.002704437347573655, 12392.465799565656]",104798271887921840.00000000,0.65128350
"[0.3691770114162336, 0.17302771951632134, 0.3533377337757899, 0.30933720455186586, 0.04934434845902034, 0.004360711766278689, 0.004269461917888455, 0.006081461963293619, 0.0016107921489296308, 0.006629845164319054, 0.002446451808476603, 294698.8286587102, 9.818155246428558e-06, 377302.8933626058, 56333.1379920225, 916527.9108546007, 1.2753277195645537e-08, 3.66696957696019e-07, 1.8725138266760601, 0.0076283580859281466, 31064.947312080967]",192884842.68073070,0.71381450
"[0.13838692250125062, 0.4085547471909535, 0.15131379555900548, 0.22973317940860294, 0.2083310163760854, 0.0022902330520988556, 0.006543153400931567, 0.0070912691112681656, 0.0003892067050994452, 0.009229014977652638, 0.006654633082493096, 487676.1893285793, 7.152261269898321e-06, 939291.8891974699, 853013.8268820924, 454787.2721657954, 5.034505678342443e-06, 8.292891879636343e-06, 3.530983323951444, 0.00867633674756867, 755031.4136486299]",1461251596.99881744,0.77883220
"[0.33348926491370623, 0.44188773780083795, 0.06259653662931533, 0.03238251178832934, 0.030153418794714098, 0.0038397109814998884, 0.0021718814484836327, 0.006578861863943527, 0.006190380159116209, 0.0005838781476665087, 0.00217257488605318, 745151.919793826, 9.450517061764721e-06, 804044.9390558129, 280723.1509173549, 824128.9391983828, 7.79286109191128e-06, 1.194167724204244e-06, 0.5137748092835449, 0.005414060895469754, 22544.883032207043]",11768051.25112256,0.84880209
"[0.10284435916847383, 0.303298455695399, 0.13666645378132122, 0.21936601087379734, 0.3986773610509647, 0.007001097858587928, 0.000553883513740398, 0.002546742171993995, 0.0023955585766321603, 0.002691661264710629, 0.0037682005886259667, 219995.8700104559, 6.807153079178265e-07, 894992.5077725099, 771038.350952748, 176444.57952753446, 4.05089910959272e-06, 7.244303706710143e-07, 1.744636707857131, 0.0005209405912225484, 324117.32288396725]",34861026.73206441,0.92473578
"[0.02285096719574911, 0.1921591943767831, 0.3876881494350843, 0.4594757020862715, 0.28073495562084627, 0.008121996459565631, 0.00625451679798984, 0.005387797709569853, 0.006769242441931972, 0.008240694453596271, 0.005516306385705828, 682137.3359804032, 6.594919043747135e-06, 660635.6979552665, 587626.6265937536, 970371.5419231664, 9.077715746541625e-06, 5.351115052002818e-06, 3.2075837074852203, 0.009704233329167122, 83034.73465127804]",1453762419723.68969727,0.98613167
"[0.22110554622903564, 0.3481930282778885, 0.42132516959275246, 0.3781986995573538, 0.3854654167621878, 0.005666423199750402, 0.004418438668197453, 0.009026470118049128, 0.005142415351894974, 0.005750417438704105, 0.006050533963440122, 506777.3342340714, 1.743569979656721e-06, 742183.024053852, 813735.477875702, 871146.8472646215, 8.160305834884739e-06, 8.069930934313097e-06, 3.8583070822458723, 0.004032108041299245, 865222.7651268559]",188337596859.45449829,1.04521704
"[0.4762367825806281, 0.46066654533497037, 0.04229440766741329, 0.06151015952302736, 0.2304194951540923, 0.003994689038231413, 0.009694621369992962, 0.001878253635796691, 0.007325037558264601, 0.0015179109264654498, 0.005025157901697716, 75206.57258398249, 1.1659145381063044e-07, 959808.1948331472, 70441.55702994528, 378378.35633980983, 8.25231672440558e-07, 1.6785007529925647e-06, 2.1023036939040223, 0.0020668759045163057, 79717.71329405175]",174199362.74923450,1.11738181
"[0.03170779352060919, 0.0067631922268693925, 0.25962309203692957, 0.04734026473693034, 0.33387846497864493, 0.009713226641674427, 0.009194715400352441, 0.003971522066764657, 0.005456910756391391, 0.009451696965100795, 0.001475749575445747, 911905.0433245712, 3.735574926616842e-06, 701780.731080344, 457815.75472012634, 670930.5919976637, 2.557074672893132e-06, 1.8166361004127875e-06, 3.438560575710867, 0.002304326131803625, 390551.19385860366]",8899721562183.93945312,1.17964005
"[0.36460666854604995, 0.09605207472548279, 0.3087296459595052, 0.3160777084058136, 0.37400640473716545, 0.003122607768436269, 0.005432216745508163, 0.005243368298889044, 0.005021030487195322, 0.0003501488380871572, 0.00574185290093326, 926293.7741869441, 2.119349052375979e-06, 274967.12270662305, 340633.0580212636, 632322.1896809979, 2.4082377311827375e-06, 9.329409505621812e-06, 3.410928188459316, 0.001730518475841316, 600635.787969718]",71504530666089.98437500,1.24661922
"[0.16071684254931212, 0.2539932021458768, 0.3488713148940124, 0.2140229127227149, 0.2870856358729938, 0.00800074910248876, 0.0020101787388521575, 0.006983186312159922, 0.007640055655574585, 0.0012636153638940347, 0.006524812945289006, 406745.3137126449, 2.304219332051763e-06, 188462.69533380278, 141924.2752073633, 358361.25986398687, 7.976948821372568e-06, 1.4090626020296092e-06, 1.066237486182101, 0.004590368154679547, 494602.97503391677]",20398166.99749869,1.30290222
"[0.20794889291637414, 0.030982472632516665, 0.32998775276117803, 0.42317234441684176, 0.302940617008413, 0.006368209037759802, 0.00933388571749339, 0.0017411755716330373, 0.007515310844813299, 0.005719364404197498, 0.00787726781524912, 462376.45749175927, 5.6301324744964015e-06, 690757.7108232554, 326049.74496578716, 855822.217063669, 9.686153466695186e-06, 3.616890768628964e-06, 2.979569572598907, 0.009311369863347952, 912671.6401016996]",413912172716.55548096,1.35701609
"[0.18090895978296112, 0.12254340051317589, 0.13117241640609326, 0.2985710227847248, 0.24646755052701477, 0.0044798896132769534, 0.0072657948919482036, 0.005140483620474933, 0.0004290581678581871, 0.004332333889577508, 0.006014868778033133, 36837.95533002867, 5.784688512865671e-06, 291019.3773163521, 474721.1962207251, 482754.47120260244, 1.3161840680198343e-06, 9.421516300757776e-06, 3.476014696520257, 0.00954849573596037, 232487.64041251675]",131158000803.20252991,1.40071630
"[0.37534536682749703, 0.0782239507001239, 0.046948346393377055, 0.13559998728120798, 0.24404933026856385, 0.004250866037463768, 0.0026264050340079003, 0.0011554008231658018, 0.006582283798127372, 0.009385580569136576, 0.007215491072750926, 235363.002004248, 4.361910790482251e-06, 779289.3388039345, 965699.835941419, 190292.40977491444, 1.065572572787683e-06, 9.023211031421784e-06, 0.6832299116814763, 0.0039607623097109535, 133165.41063470402]",13129575.14238583,1.44760084
"[0.11467282060342501, 0.20275427539607327, 0.4158174030356215, 0.4882215834199069, 0.48641467560687174, 0.007298696926636215, 0.009742909136973068, 0.00047464137042254196, 0.0013335146826152786, 0.00679988364322101, 0.000672896767361189, 548665.5526415693, 1.9750313840329937e-06, 232211.89821674593, 295060.223463392, 189141.27229678718, 6.935259378949132e-06, 6.5119541204945886e-06, 3.9122775192974477, 0.009909053954432213, 679987.590397846]",120782659429214.89062500,1.50738215
"[0.14558283682443926, 0.07238194319283439, 0.27393574068810744, 0.26940832061975784, 0.36295183493875915, 0.006492226834535543, 0.000940879422207473, 0.009351538279183079, 0.001972408985354186, 0.0025504129993994236, 0.005209563247324919, 41897.483885191126, 6.987925275826331e-06, 143419.11885648966, 399176.18572003016, 503518.88539951225, 2.662675847074893e-07, 6.0536574218950205e-06, 0.7363319231812513, 0.0026433036332881967, 853057.311385214]",12875563.86441546,1.55071187
"[0.3905398971144896, 0.4164007208884602, 0.4970059422976556, 0.44160732241453377, 0.4805570375418737, 0.009898511337153014, 0.007822550898184177, 0.0035854923150368625, 0.0011994905645294632, 0.007618275731093364, 0.004399776603406356, 134508.54086580963, 8.34476980475351e-06, 20700.04835813094, 916850.8742081898, 297685.79005336453, 9.736826517801814e-06, 8.585144832862942e-06, 2.573926042385041, 0.00245295408228038, 879977.4639930583]",3010768615.71080065,1.60530043
"[0.06230556059078401, 0.3989664124394068, 0.15577213662574205, 0.20976637993436875, 0.15783667158750214, 0.0005355754982486139, 0.008168799704532922, 0.00462098378590012, 0.0009395861151380746, 0.005433138526771995, 0.004722127216469271, 271007.1402212047, 7.076891732397421e-06, 509342.63254465355, 99965.9181355708, 961361.9043526296, 8.915380857515603e-06, 9.346340310400407e-07, 3.254353225085992, 0.007002462660489181, 334238.2165180968]",20235470185.83053589,1.67340207
"[0.3364841396050914, 0.44880314301140606, 0.21662736927088072, 0.1713423898507136, 0.4524393099915737, 0.0036002662511034162, 0.005839461580629056, 0.008072012402573433, 0.007394123380049292, 0.0014504321318572645, 0.004037469557273728, 410644.61819944094, 8.295765517356633e-06, 404216.8925630643, 558063.3383440176, 763503.1604612321, 6.106491442286774e-06, 8.487177046026718e-06, 2.2826234845256725, 0.00966918745946079, 962907.3627021882]",5004125247.31869793,1.74380517
"[0.09133956574161521, 0.05521883246265128, 0.4590051456936649, 0.39824135319480475, 0.07562151424164255, 0.002598560379464503, 0.0017209244424286954, 0.005426333489993296, 0.005307832451623278, 0.009821667681704954, 0.006293698295268462, 107482.91074449559, 3.514892737667641e-06, 61908.46883526882, 483807.08870301035, 308474.2097336516, 8.370200689125318e-06, 9.108364167389864e-06, 2.414523120316714, 0.005837672160615787, 467719.80720511696]",382152530.59912264,1.79021716
"[0.07747474930089734, 0.14604792265854666, 0.287933641075393, 0.0941678164068264, 0.0814466076340969, 0.008880252495372646, 0.006211483656108115, 0.0006889784381535718, 0.009651880687732636, 0.0060535457594863085, 0.000303433122702523, 943548.4615913851, 8.655568419617283e-06, 473293.7029377226, 871003.1018225091, 799053.1851641698, 3.71688459070394e-06, 3.4163674893997933e-06, 4.893746727147609, 0.0031686655327240855, 365473.15628785215]",199650455005868.21875000,1.85427976
"[0.12200137366896055, 0.26423566362200446, 0.17940704900594773, 0.3483335877539337, 0.21079741581804698, 0.006178645127106415, 0.00943585495248878, 0.006658023451192561, 0.004290140640532993, 0.003323789700698426, 0.009850933522907834, 788950.9331252573, 4.206153400002508e-06, 58406.1071350232, 951829.840384458, 983656.5634913795, 3.930896230943829e-06, 8.74827624944281e-06, 1.510203072312147, 0.00046206279955652663, 229296.4914245022]",622766852.08399880,1.91902184
"[0.1721831558278671, 0.2671596677123789, 0.31353273270883625, 0.23067059593517164, 0.1756869271753027, 0.0008557126459325014, 0.007974235773038914, 0.004705131417217168, 0.0023056325030177505, 0.002060780463556923, 0.0023069303993958137, 520476.8182117707, 9.784862360979929e-06, 341115.8349110148, 634438.1106488269, 288088.15974638617, 2.1268878864113927e-06, 9.242341986868607e-06, 2.7150043507183184, 0.009467666589132498, 386939.8233860091]",43060168642.40761566,1.97821808
"[0.3496003990663521, 0.49936146655151153, 0.11280249024660413, 0.08843086512752811, 0.31988643912092285, 0.00522928815336949, 0.008664858568181881, 0.0006421790536593275, 0.0027720719017364343, 0.006172151163733583, 0.009194976698517944, 715875.0907144924, 9.156322448379659e-07, 529143.4585180243, 276150.2546219784, 278106.5082951202, 5.303473312323515e-07, 4.578962492250646e-07, 4.231208594922686, 0.0010148907016879025, 650815.9254335157]",45537962285.32321930,2.05225825
"[0.4261295832486413, 0.23415987266071606, 0.005550830584787227, 0.3817345004101829, 0.40320706687165286, 0.002269177900770218, 0.005888592776660618, 0.005614111545955965, 0.0018690814546229082, 0.005183398801705291, 0.0016668914602535406, 513879.07690850325, 7.25776550330742e-06, 821648.5574595105, 561467.3569794464, 739658.6010410688, 3.3329423693457213e-06, 6.7224740439650005e-06, 0.8327399424711113, 0.0055025925087073685, 212335.71957252242]",6265033952.53238583,2.12267566
"[0.38997059997770595, 0.025963992676176818, 0.28253467838621293, 0.07250097064450897, 0.26690997091225516, 0.008072629229999543, 0.005218576453846289, 0.008880823498095245, 0.009389632949353972, 0.0017815543577251308, 0.0031488985766842006, 60368.0565191253, 3.937184061945704e-06, 207028.83990843323, 116079.17700239326, 831901.2051207173, 4.1581141157184556e-06, 4.4663858229802015e-06, 4.919921145670286, 0.002151963851433077, 928925.7012814969]",447810604132168.43750000,2.18224573
"[0.1084113962597496, 0.2258593796599253, 0.2902327418739084, 0.11927677564878449, 0.22637159251216307, 0.0077126347835095015, 0.0070637023351208415, 0.007599896570197962, 0.009285515278948548, 0.0010126351794454821, 0.003521372891334938, 584877.823070788, 3.3724435491003137e-06, 320160.728815935, 122438.92405494864, 927164.2184862739, 1.9098437323531375e-06, 3.2431846856033568e-06, 4.812953089392463, 0.00818977651159551, 691921.9216263269]",1011047767843714.87500000,2.24485350
"[0.11559222990798253, 0.06525260133380607, 0.21242734946150146, 0.03947021096120186, 0.43153232278583237, 0.009108567646417855, 0.0014126725796041726, 0.009250030956147173, 0.004492005131988075, 0.009754254956609773, 0.004559889937137359, 791682.7786481197, 1.201402002832892e-06, 726622.8719839664, 788032.4890089026, 135502.4310111764, 7.242309621678907e-06, 5.863561023322955e-06, 2.624631215288489, 0.004850867800931351, 718404.9811970317]",155637250.03891060,2.29356575
"[0.15466133567515802, 0.12991751521855388, 0.17230889410862407, 0.18189092264178708, 0.4632362281141329, 0.007554150710445047, 0.002836255527386964, 0.007255082662788978, 0.009600021670633754, 0.0022439211991784245, 0.0043227639830018235, 92547.86697397806, 5.338299699710582e-06, 541483.7875935626, 721236.7786694791, 714546.4910083159, 5.889779511273187e-06, 2.9768524751852613e-06, 3.1262704650651036, 0.005081032582605408, 902967.6674416341]",44181104565.94938660,2.34883785
"[0.05494192090025877, 0.40447192167669427, 0.16171653742553177, 0.4945921800715821, 0.037912494639176654, 0.0027296379157892453, 0.007542821055359234, 0.009493679984087615, 0.007055672940669658, 0.001353871417937354, 0.006151280956251662, 438427.58159412065, 6.241799444385716e-06, 812510.5185327277, 213158.53883868246, 752341.6211462023, 6.3423546398231135e-06, 8.574574477521467e-07, 3.0348339348057887, 0.008305091090696133, 533374.1196782718]",12093799829.51615715,2.40758419
"[0.25949951173669544, 0.38776844931113635, 0.3728084725786373, 0.3695551086581274, 0.4140001610776585, 0.009928299684425369, 0.0044917990176795725, 0.0036833866074610293, 0.005774386486999786, 0.001150413642411903, 0.0009976185230993544, 675817.8223932525, 6.427974996757494e-06, 839362.3674114932, 981866.914347437, 649928.7455702695, 3.5739714380534753e-06, 5.007735315858277e-06, 2.064840196458074, 0.001648314422218533, 668361.8124153842]",30799552025.25671005,2.48160386
"[0.46582705607587077, 0.18442957785142702, 0.3781608912949502, 0.25851962263964406, 0.27915887952840096, 0.00855907320957398, 0.0037273226210764393, 0.003239792060875442, 0.003024644964877205, 0.006265997918045482, 0.004524769725699827, 751644.0110216681, 1.3493954055125957e-06, 267076.8563334838, 544524.0880751373, 339945.7627157576, 1.7927795959599274e-06, 6.332732532766574e-06, 3.628988800836219, 0.008030150100685411, 432951.8428173946]",452790048536.48028564,2.53911114
"[0.23557022630391602, 0.06617431513440328, 0.47941945238214584, 0.0512187554298178, 0.2367874165656893, 0.0032498017527320504, 0.003154890692601661, 0.00011908818767821744, 0.004078952444073087, 0.006991563858119819, 0.009050693229973423, 395048.0044437487, 2.544354329682336e-06, 285724.7132028853, 49412.47618938793, 220471.12535056737, 3.8489269216101986e-06, 1.1052515356451243e-06, 2.246163580542656, 0.00495675693641486, 640448.8748963571]",14578005.16604242,2.60360312
"[0.28765348590131395, 0.49319484903178407, 0.09321615483926213, 0.1586663626259129, 0.32267900015810214, 0.008750434366949902, 0.00830301022786305, 0.004431000115097629, 0.009186792292509266, 0.0045462368386397535, 0.004763947024959794, 26504.294866351647, 4.130502167917161e-06, 648197.3570856643, 574520.3541086941, 578715.5340249923, 8.71803860834672e-06, 1.9839679401181845e-06, 1.9867045222015718, 0.006512318810251856, 774128.96418472]",13112932.77802934,2.65631557
"[0.013322199037686774, 0.22046079992960727, 0.14853133510663172, 0.38715653560845753, 0.05096960459284691, 0.007515100573189247, 0.004901097759944552, 0.007624229916853837, 0.0026469305421041303, 0.0051357314299593, 0.008050099833597711, 731764.5782401217, 2.3182431011718122e-06, 515060.31863791484, 947948.5550168083, 789888.4629612835, 3.166995165957474e-06, 2.954921164592276e-07, 1.642947925568773, 0.0031985607140922316, 933076.1489315372]",14607306.88485853,2.71065593
