params,sse,elapsed_time_s
"[0.20086886950533206, 0.4049818377473845, 0.25048732537998, 0.13955244812128295, 0.16426251523836966, 0.0093314556562933, 0.00786122356101681, 0.0004132689645873384, 0.0023034162157108437, 0.004744299602648829, 0.0030544591991365183, 290527.88383026357, 1.522386843709663e-06, 944226.6435425485, 340382.90830737737, 112694.22359853673, 9.406807212710617e-06, 2.2398052772446922e-07, 4.984007667281422, 0.0027514473798647796, 685934.1148181964]",1372967225278.45092773,0.52691865
"[0.32075139124549956, 0.49335008240451217, 0.3887773764030376, 0.14537630268813412, 0.3152487378587784, 0.005346955214508949, 0.000504200707350369, 0.004159362457435371, 0.007777693312937914, 0.0037586267735621338, 0.00907640698613096, 141303.73714562666, 9.68391324303072e-06, 654677.8678609489, 241480.36564322928, 10264.477758319694, 1.6731749871862815e-06, 1.1136874256870147e-06, 1.2004717976220205, 0.00649687469514731, 144672.9315991313]",13054949.08669951,0.59006691
"[0.4681240228324672, 0.2856154390326427, 0.056825467551579925, 0.38840440910373175, 0.06821869691804068, 0.0018894235325573774, 0.0038849238357769075, 0.007535923926587239, 0.00906158429785926, 0.0012796903286381087, 0.002852903616953206, 949261.6573174205, 8.437510492857116e-06, 414539.78672521166, 312546.27598404506, 613077.8217092012, 2.013506554391291e-06, 8.715393915392039e-06, 2.16502765335212, 0.0003067161718562922, 761959.8946241619]",10241084150.38064384,0.65967822
"[0.16638384500250122, 0.22719949438190692, 0.431997591118011, 0.4190063588172058, 0.25632203275217075, 0.003094466104197712, 0.003086306801863135, 0.002988538222536331, 0.009786413410198891, 0.0013300299553052756, 0.009677266164986192, 455304.3786571585, 2.706122539796641e-06, 618609.7783949398, 66091.65376418477, 449520.5443315908, 2.666411356684885e-06, 3.189183759272686e-06, 0.7119666479028872, 0.002402673495137337, 10112.827297259826]",61799770.17438274,0.72622633
"[0.3368085298274124, 0.4736854756016759, 0.29452307325863064, 0.20412502357665868, 0.11974683758942821, 0.006985421962999777, 0.009985762896967267, 0.008331723727887054, 0.005350760318232415, 0.009383756295333017, 0.0046931497721063595, 990253.8395876518, 6.103834123529441e-06, 688081.8781116257, 561346.3018347098, 308291.8783967654, 2.988322183822558e-06, 8.17253544840849e-06, 0.9775496185670898, 0.0030061217909395084, 664927.766064414]",13090755.05271241,0.79281521
"[0.015378718336947648, 0.25644691139079795, 0.46264290756264254, 0.3683020217475947, 0.12752472210192942, 0.008754195717175851, 0.007541767027480798, 0.0032524843439879886, 0.005087117153264321, 0.008451322529421258, 0.0035064011772519338, 659869.7400209118, 4.947830615835654e-06, 869977.0155450199, 942036.7019054958, 812743.1590550689, 6.8929982191854396e-06, 9.43086074134203e-06, 3.799273415714262, 0.0013378811824450965, 888110.6457679346]",44726055284.74285126,0.85760689
"[0.035211934391498216, 0.11408838875356626, 0.4152362988701685, 0.08928140417254304, 0.3212099112416925, 0.008025992919131263, 0.002113033595979679, 0.009929595419139707, 0.0009644848838639411, 0.004897388907192542, 0.007599612771411656, 184292.67196080624, 4.388638087494267e-06, 241279.3959105329, 475223.253187507, 260811.08384633262, 7.1564314930832485e-06, 7.895030104005634e-06, 3.8451674149704407, 0.006240466658334246, 245961.46930255607]",119196338632.69587708,0.91508889
"[0.15200109245807134, 0.24633605655577698, 0.33266033918550497, 0.23641739911470766, 0.3808208335243757, 0.0005408463995008034, 0.005964877336394905, 0.008052940236098255, 0.007016830703789949, 0.005262834877408208, 0.0003100679268802454, 393516.66846814257, 5.674939959313442e-06, 704344.0481077038, 127520.95575140389, 322335.69452924305, 5.3216116697694785e-06, 6.339661868626192e-06, 0.8266141644917446, 0.004598216082598489, 550463.530253712]",22982821.79191679,0.97707009
"[0.09283356516125628, 0.1615930906699408, 0.1540188153348266, 0.4721703190460548, 0.010788990308184601, 0.004127378076462825, 0.0030532427399859252, 0.006293507271593382, 0.0036600751165291974, 0.0094698218529309, 5.031580339543265e-05, 210307.145167965, 1.621782907621261e-06, 519656.38966629456, 960701.1140598906, 996632.7126796197, 6.414633448811159e-07, 3.94640150598513e-06, 1.2746073878080446, 0.006211751809032612, 999251.4265881035]",6561872.90251400,1.03458691
"[0.35262558704121844, 0.09294638445373879, 0.32893618407385916, 0.19408052947386067, 0.23768692995728982, 0.007842453283348854, 0.0008654308007048822, 0.0015250441335293151, 0.004873821512782782, 0.007121393930201591, 0.0015084991508914937, 103882.08664914253, 5.263349853233685e-06, 843517.4621606878, 455577.5094402525, 721823.1839953276, 1.5077493457862631e-06, 2.6242722008255746e-06, 1.3371211514217345, 0.0031226522636072507, 161064.3877172074]",14772123.87758643,1.09800863
