params,sse,elapsed_time_s,best_sse_so_far
"[48.95926106559533, 0.18912713151955246, 17.036738279445668, 13.576829792148137, 74.16681264418199, 0.5304120432916588, 0.6487573921484058, 0.019651858474509294, 0.7848276862010488, 0.929574647002778, 0.46152684091409296, 394893.11491396895, 0.0006294367825978996, 244207.60108419004, 452676.3599648657, 760461.2837188939, 4.811083037414957e-07, 1.2439101340127254e-06, 4.923670280149842, 0.0034370206458477636, 560029.1006549952]",11203264.22755437,0.51599169,11203264.22755437
"[43.02724332289156, 0.1588494858910307, 48.20915385798601, 14.908603020129647, 3.390688689508001, 0.8963340343146998, 0.9824445576044767, 0.015819957452414154, 0.20100104555300935, 0.41219498604856314, 0.3754005581363079, 903404.6598257886, 0.0002680785078380606, 327995.29551035806, 183780.72809234634, 97108.6672565164, 1.634198507661074e-06, 6.930855735666603e-06, 4.765157805894404, 0.005660841199446843, 163507.13554347842]",12713572.47722092,0.58616829,11203264.22755437
"[29.90033281699521, 0.043758076735144084, 85.91713516726723, 40.329523356723364, 56.50243549278898, 0.6324524133700005, 0.33258987033245485, 0.011228524133376369, 0.6546413216733944, 0.28720195001997656, 0.20657799423115789, 844642.5600534512, 0.0007041761147656177, 109558.75628109064, 884128.656734598, 868274.0604174664, 6.4267937568096735e-06, 4.012230659630782e-06, 4.03077703133027, 0.0010891123191482071, 59451.56103384123]",4380077.96231562,1.02079153,4380077.96231562
"[12.81868913138374, 0.31849952673611015, 43.1399418014464, 48.553381636914104, 16.654320256633703, 0.33523180213377696, 0.980079686467189, 0.093216375043262, 0.1388123832396231, 0.4234589765933638, 0.046965629330984145, 658050.4763210114, 0.0008356580946675369, 515197.4010554933, 371857.05935217836, 477955.1666082302, 4.817394210442553e-06, 9.354251243611843e-06, 2.353645993464437, 0.0037825940191012464, 680924.4084697793]",12679142.59971432,1.36763453,4380077.96231562
"[37.00309462767544, 0.13969991772712, 55.94339967251633, 24.403489786114555, 74.66663444251589, 0.9699342742117273, 0.40327947074790166, 0.04188085478212205, 0.9569509245307097, 0.7307772391726488, 0.05947747244768851, 247448.1635519192, 0.0007729853201393073, 339570.63565194083, 844484.1021120347, 990904.1471453031, 2.7372097663345114e-06, 5.876030637968115e-06, 3.2158137497272423, 0.005038179837072989, 425068.552116935]",12276667.3495235,2.08536863,4380077.96231562
"[34.27554469776767, 0.07070274389787078, 76.06052165585567, 11.758629368051347, 27.226909448665584, 0.4900746468194744, 0.4621228395718726, 0.05910773783861824, 0.9793175236651684, 0.08422826984600237, 0.011676974422185455, 621369.688973034, 0.0005503944542620876, 270277.31782046455, 720358.2479102403, 796825.2250486624, 4.593757065628855e-06, 7.019409719109955e-06, 1.4026673018676652, 0.005282733621259732, 230433.0651836522]",912610213.1123152,2.83246565,4380077.96231562
"[46.9766731423467, 0.1814994805036044, 3.5637568467618514, 35.04086993299075, 46.19587216300164, 0.4445738901032698, 0.9073247326500113, 0.010884625046516844, 0.2872155811432449, 0.24624653354745576, 0.8877439292308525, 457045.24387339695, 0.000579650452063961, 676641.661333863, 771149.6109559744, 168211.36042991423, 6.603690414916038e-06, 1.3693848933832588e-06, 1.445774959631579, 0.000858863038452991, 289265.4433657258]",12978416.81722105,3.5662837,4380077.96231562
"[37.63826215469134, 0.11086772591290911, 6.001506942486884, 16.100054303292204, 1.6339247344570484, 0.1975333674697128, 0.3125587132620205, 0.021575013000867754, 0.38892073356076684, 0.5187451611387769, 0.961030680571206, 143193.80870887605, 0.0008193181942908697, 916266.4027220533, 155077.84987896823, 604673.7771430749, 1.314614635043387e-06, 6.04068551149512e-06, 0.7553325388778086, 0.002745761765418132, 924249.394921855]",12979529.54114281,4.27664685,4380077.96231562
"[48.23405741966954, 0.24817374529007513, 80.42649924842164, 19.65734111642895, 92.47376402186127, 0.3091603951294336, 0.7590403133805875, 0.04155842613309439, 0.7722841386314776, 0.17048544436771132, 0.3385454056287563, 912876.2310644657, 0.0002176625854941849, 747459.998900996, 40605.26744118597, 204493.63478070524, 1.8651418718826163e-06, 3.209665111927352e-06, 3.8314073914428883, 0.009381211268660716, 302856.11144020804]",1503317.50258511,4.77802205,1503317.50258511
"[13.986436860972264, 0.415490360906296, 11.00133683592314, 10.91976426095018, 36.42395210475652, 0.8382951751768043, 0.05046150957613722, 0.0892286009763236, 0.3256699133516257, 0.48058667624740153, 0.4945438746310028, 891720.1625389629, 0.0007936821649600924, 220687.4888475123, 391931.6552139575, 565816.4177326607, 3.4688353749755705e-06, 6.43771400709271e-06, 1.650939938446666, 0.002182918111254744, 455395.32812603435]",12979181.59870347,5.05708718,1503317.50258511
"[4.582687106936922, 0.386005912348938, 9.56929198633627, 26.886971322424824, 20.312658497925135, 0.03816293182529662, 0.37156321585423574, 0.0673970431918777, 0.8054243703226283, 0.33558558747687056, 0.6184541692831431, 880976.2313218426, 7.904168507771296e-05, 300055.89109897224, 701835.8823656255, 484122.6647074276, 1.0338626785127058e-06, 1.176506906194928e-06, 3.8946479970275205, 0.0019662497582454007, 28927.399260411094]",213880478354004.4,5.75319743,1503317.50258511
"[23.531252523151295, 0.40387578598188734, 28.957008445202586, 22.781779067831177, 47.31442103475409, 0.8418039636719227, 0.5166719572110849, 0.03944805954486811, 0.747171636468651, 0.8192009932424315, 0.19070421187734932, 76541.27456334085, 0.0006099959890830288, 14402.163091456827, 437102.0060634326, 82168.05871198927, 3.486849500621481e-07, 5.19947867831766e-06, 2.5895056163108006, 0.008174608955548585, 150778.302259988]",142042923622.98743,6.47524452,1503317.50258511
"[1.6637521939293878, 0.03487382895487879, 47.484599140255064, 27.55911016711737, 29.737069224193764, 0.15387994208657496, 0.2816699523257887, 0.03440247102236883, 0.46978921277204544, 0.428138694794664, 0.43008810210061604, 739607.362235849, 0.00040246483938695865, 716062.7536852823, 208897.2935815167, 809648.3292326974, 9.929715279064935e-06, 3.505150688350452e-06, 3.7270866738162067, 0.0020194813313632147, 192188.91464667438]",398525223422.7578,7.17106652,1503317.50258511
"[2.3120780406479966, 0.3655292070119717, 39.40458188287669, 27.123652937400692, 40.559693213791725, 0.10278873223642104, 1.0, 0.043959185049870085, 0.327091468244987, 0.745375058223652, 1.0, 796311.8339333156, 0.00034070256594354655, 859165.1371731175, 400909.64489767654, 337927.54396006925, 4.419721670976627e-06, 1e-05, 2.724308913646538, 0.007698914021748745, 401565.24534851575]",12064582.75330956,7.90633965,1503317.50258511
"[16.96505175470155, 0.1352164599813518, 35.09457956018654, 34.25410491980502, 82.92100405419325, 0.39483863949732967, 0.693936098996979, 0.033222044080727514, 0.08263277684984362, 0.18496496082599498, 0.8016249850772359, 100.0, 0.000952485997152032, 920416.299455577, 174880.1132917641, 516213.1795870906, 4.054724258183947e-06, 2.524553665880559e-06, 3.520821955717817, 0.004032374532789867, 914995.8079567146]",12979445.81311374,8.58258224,1503317.50258511
"[42.750929035134284, 0.2280500953918207, 13.012688225923918, 36.79211704441654, 71.6189828704281, 0.7463682904274984, 0.5051993299841548, 0.08577425192153088, 0.42378186055845996, 0.8681053593361157, 0.33923182893712933, 613574.5161017565, 0.0005416736838000909, 404046.070415995, 679311.4114732416, 309758.4714180606, 7.40647917110659e-06, 4.811103854186213e-06, 1.607454341755202, 0.0023384408037988337, 656037.9324631272]",12948908.02910953,9.29190278,1503317.50258511
"[0.5084446504404525, 0.4538202698177445, 40.78840826727822, 29.026859198337835, 76.89439497038597, 0.7357352402622153, 0.6662867824677364, 0.0709734280788467, 0.8359977615600798, 0.6871257648312562, 0.8363282222136146, 650182.4892941621, 0.0009602499184040425, 100.0, 165231.8964474518, 728558.1997703712, 6.304363773009395e-06, 8.246445232416977e-06, 4.185547019774926, 0.005978074011353113, 185927.5137175547]",1.4583400471168014e+16,10.04501152,1503317.50258511
