optimizer,dataset,seed,min_sse
basin_hopping,lshade_3,3,137900.05229527
dual_annealing,lshade_2,2,45823.62760177
basin_hopping,lshade_2,3,86186.50322081
cmaes,lshade_1,1,194493.11293292
cmaes,basin_hopping_2,4,51931.58720724
dual_annealing,basin_hopping_1,8,399630.66104599
basin_hopping,dual_annealing_2,9,46057.44703223
basin_hopping,dual_annealing_3,3,84520.74559385
lshade,cmaes_2,1,129262.42488574
cmaes,lshade_2,7,81695.90578904
lshade,pso_2,7,35443.29440867
dual_annealing,pso_1,8,1060339.01291443
lshade,dual_annealing_1,9,52649.39739985
dual_annealing,lshade_2,5,768370.87872489
basin_hopping,lshade_3,5,53849.13845207
dual_annealing,lshade_3,3,140233.53917522
basin_hopping,dual_annealing_1,9,211954.41843252
lshade,dual_annealing_2,4,39108.66255323
basin_hopping,cmaes_1,6,247564.90373929
basin_hopping,cmaes_3,9,116238.86379472
basin_hopping,pso_2,7,35601.81108243
dual_annealing,basin_hopping_3,6,1013887.34973831
dual_annealing,lshade_1,10,196585.50037667
cmaes,cmaes_1,6,93771.86510539
basin_hopping,dual_annealing_3,2,134587.01425775
pso,cmaes_3,9,1358168.28658615
pso,lshade_3,5,1026475.80979203
cmaes,pso_2,4,35380.51358188
basin_hopping,dual_annealing_1,2,48156.50370553
lshade,dual_annealing_2,10,93270.58936837
lshade,basin_hopping_2,8,120649.97173628
pso,cmaes_1,3,2042373.95589691
pso,basin_hopping_3,8,868338.7773941
pso,basin_hopping_2,4,2608523.90138032
pso,pso_2,8,807522.50028297
basin_hopping,dual_annealing_1,7,154473.55632834
pso,dual_annealing_2,9,2663164.24771325
dual_annealing,basin_hopping_1,7,743156.67596328
dual_annealing,pso_3,4,48909.35545058
basin_hopping,cmaes_2,9,124462.61054867
basin_hopping,basin_hopping_1,8,60553.35688803
basin_hopping,dual_annealing_3,9,38415.14231417
pso,lshade_3,4,1683762.29701946
cmaes,lshade_2,1,53482.17696529
pso,dual_annealing_1,1,1393967.00297119
pso,dual_annealing_1,9,1098958.13823041
lshade,dual_annealing_1,7,62275.25089536
lshade,dual_annealing_2,7,51019.18681142
dual_annealing,basin_hopping_1,2,659796.94855256
basin_hopping,pso_1,5,49877.65127857
basin_hopping,cmaes_3,3,185621.95757194
basin_hopping,basin_hopping_2,3,56406.38494576
pso,dual_annealing_2,8,2090373.02326186
cmaes,basin_hopping_2,1,61414.25444362
basin_hopping,lshade_1,8,47456.18278549
lshade,cmaes_2,10,126035.46909131
lshade,pso_3,5,48942.83949522
dual_annealing,dual_annealing_3,6,88773.58996461
cmaes,cmaes_3,10,56604.28421315
pso,basin_hopping_2,3,2295315.92917398
pso,cmaes_3,3,1241241.31859647
pso,pso_1,5,574676.555689
pso,dual_annealing_1,3,1788070.5861913
pso,dual_annealing_2,10,880462.05542378
dual_annealing,dual_annealing_3,4,158064.01208174
lshade,pso_2,10,35443.37484936
dual_annealing,cmaes_2,4,155373.607397
dual_annealing,pso_3,10,68666.45329797
dual_annealing,dual_annealing_1,1,173358.0954373
dual_annealing,cmaes_1,1,1570088.38653017
dual_annealing,cmaes_2,2,850788.19207443
lshade,basin_hopping_3,2,100954.75946217
cmaes,dual_annealing_1,1,43932.02236042
dual_annealing,basin_hopping_3,4,302551.79849444
pso,pso_1,6,145324.06875214
dual_annealing,dual_annealing_3,7,695383.49508309
lshade,cmaes_1,2,130206.94449672
basin_hopping,lshade_2,4,104074.40896377
pso,dual_annealing_1,6,1177367.20405535
lshade,dual_annealing_1,4,52337.84439257
cmaes,basin_hopping_1,9,39110.55119717
dual_annealing,dual_annealing_3,10,139982.18192184
lshade,basin_hopping_2,7,93073.39903721
lshade,pso_1,5,49287.9595339
pso,pso_1,1,742452.96132397
basin_hopping,lshade_3,1,58062.67024533
lshade,pso_3,3,51779.44721651
cmaes,dual_annealing_1,9,153808.46158875
pso,pso_1,9,319194.26133346
basin_hopping,dual_annealing_1,3,137769.1251191
lshade,basin_hopping_1,5,71762.18202596
dual_annealing,pso_1,10,472652.95558663
dual_annealing,pso_2,3,1022311.46930927
cmaes,cmaes_2,10,883035.86800249
lshade,pso_3,4,51550.82386269
dual_annealing,cmaes_2,1,334525.55223508
basin_hopping,cmaes_3,8,155312.31636355
cmaes,lshade_2,5,44152.58813229
cmaes,lshade_2,3,44455.92188927
pso,pso_2,1,556824.1567517
lshade,dual_annealing_2,5,42556.145079
lshade,basin_hopping_3,6,85159.7762976
dual_annealing,pso_3,3,167719.87532586
pso,pso_2,4,356257.89664856
basin_hopping,pso_3,9,57723.50384705
pso,lshade_2,2,2256557.4298093
pso,pso_3,4,437914.47130183
pso,lshade_3,8,919556.00725809
lshade,dual_annealing_3,7,42599.0483081
lshade,basin_hopping_2,10,103254.37088071
lshade,basin_hopping_1,7,74823.05789879
cmaes,cmaes_2,4,54856.43791897
pso,lshade_3,9,1213164.13401926
basin_hopping,basin_hopping_2,1,69975.65990168
basin_hopping,cmaes_1,5,91177.83037742
basin_hopping,dual_annealing_2,4,53270.29781718
basin_hopping,lshade_1,6,40631.01460936
pso,dual_annealing_2,4,1512898.35794517
pso,dual_annealing_3,4,1125626.28934489
dual_annealing,cmaes_1,9,742981.43267544
cmaes,dual_annealing_3,7,710977.03574957
dual_annealing,cmaes_1,5,1036557.97145145
basin_hopping,basin_hopping_2,10,489643.55319187
basin_hopping,dual_annealing_2,10,39631.82702734
cmaes,lshade_3,2,206459.51569398
pso,pso_3,6,163546.86857568
lshade,cmaes_2,7,126733.0952709
dual_annealing,cmaes_2,6,1126788.90375293
lshade,lshade_3,10,74857.36763685
cmaes,pso_1,2,1037294.14398551
cmaes,dual_annealing_2,4,35138.33765536
pso,pso_2,5,76142.57442233
basin_hopping,basin_hopping_1,6,43592.44828533
basin_hopping,basin_hopping_2,9,67982.77858281
